"DuplicateGroup","File","FeatureNo","ID","Name","Geometry","Coordinates"
"18","1-1499.geojson","724",,"#1084","Point","[20.168331,41.153332,0.0]"
"18","1-1499.geojson","725",,"#1084","Point","[20.168331,41.153332,0.0]"
"19","1-1499.geojson","1206",,"#1497","Point","[35.0913932,31.7826179,0.0]"
"19","1-1499.geojson","1207",,"#1497","Point","[35.0913932,31.7826179,0.0]"
"19","1-1499.geojson","1208",,"#1497","Point","[35.0913932,31.7826179,0.0]"
"19","1-1499.geojson","1209",,"#1497","Point","[35.0913932,31.7826179,0.0]"
"19","1-1499.geojson","1210",,"#1497","Point","[35.0913932,31.7826179,0.0]"
"20","1-1499.geojson","1150",,"#1429","Point","[23.1138842,42.0978104,0.0]"
"20","1-1499.geojson","1151",,"#1429","Point","[23.1138842,42.0978104,0.0]"
"21","1-1499.geojson","219",,"#232","Point","[35.784354,33.0155854,0.0]"
"21","1-1499.geojson","220",,"#232","Point","[35.784354,33.0155854,0.0]"
"22","1-1499.geojson","679",,"#940","Point","[-5.0992763,57.3596139,0.0]"
"22","1-1499.geojson","680",,"#940","Point","[-5.0992763,57.3596139,0.0]"
"23","1-1499.geojson","1127",,"#1404","Point","[35.199766,32.7493006,0.0]"
"23","1-1499.geojson","1128",,"#1404","Point","[35.199766,32.7493006,0.0]"
"23","1-1499.geojson","1129",,"#1404","Point","[35.199766,32.7493006,0.0]"
"24","1-1499.geojson","291",,"#296","Point","[108.277199,14.058324,0.0]"
"24","1-1499.geojson","292",,"#296","Point","[108.277199,14.058324,0.0]"
"24","1-1499.geojson","293",,"#296","Point","[108.277199,14.058324,0.0]"
"24","1-1499.geojson","294",,"#296","Point","[108.277199,14.058324,0.0]"
"25","1-1499.geojson","732",,"#1088","Point","[35.361011,31.101361,0.0]"
"25","1-1499.geojson","733",,"#1088","Point","[35.361011,31.101361,0.0]"
"26","1-1499.geojson","1156",,"#1436","Point","[23.1290147,37.2773508,0.0]"
"26","1-1499.geojson","1157",,"#1436","Point","[23.1290147,37.2773508,0.0]"
"26","1-1499.geojson","1158",,"#1436","Point","[23.1290147,37.2773508,0.0]"
"27","1-1499.geojson","995",,"#1261","Point","[34.990685,31.849837,0.0]"
"27","1-1499.geojson","996",,"#1261","Point","[34.990685,31.849837,0.0]"
"27","1-1499.geojson","997",,"#1261","Point","[34.990685,31.849837,0.0]"
"28","1-1499.geojson","323",,"#600","Point","[35.3946862,31.4659124,0.0]"
"28","1-1499.geojson","324",,"#600","Point","[35.3946862,31.4659124,0.0]"
"29","1-1499.geojson","185",,"#224","Point","[34.6965807,31.9248152,0.0]"
"29","1-1499.geojson","186",,"#224","Point","[34.6965807,31.9248152,0.0]"
"30","1-1499.geojson","491",,"#511","Point","[35.1316667,30.9066667,0.0]"
"30","1-1499.geojson","492",,"#511","Point","[35.1316667,30.9066667,0.0]"
"31","1-1499.geojson","14",,"#305","Point","[34.9899143,32.7940463,0.0]"
"31","1-1499.geojson","15",,"#305","Point","[34.9899143,32.7940463,0.0]"
"31","1-1499.geojson","16",,"#305","Point","[34.9899143,32.7940463,0.0]"
"31","1-1499.geojson","17",,"#305","Point","[34.9899143,32.7940463,0.0]"
"32","1-1499.geojson","274",,"#287","Point","[34.889084,30.716758,0.0]"
"32","1-1499.geojson","275",,"#287","Point","[34.889084,30.716758,0.0]"
"32","1-1499.geojson","276",,"#287","Point","[34.889084,30.716758,0.0]"
"32","1-1499.geojson","277",,"#287","Point","[34.889084,30.716758,0.0]"
"32","1-1499.geojson","278",,"#287","Point","[34.889084,30.716758,0.0]"
"33","1-1499.geojson","604",,"#814","Point","[-118.4356632,33.9305304,0.0]"
"33","1-1499.geojson","605",,"#814","Point","[-118.4356632,33.9305304,0.0]"
"33","1-1499.geojson","606",,"#814","Point","[-118.4356632,33.9305304,0.0]"
"33","1-1499.geojson","607",,"#814","Point","[-118.4356632,33.9305304,0.0]"
"33","1-1499.geojson","608",,"#814","Point","[-118.4356632,33.9305304,0.0]"
"34","1-1499.geojson","436",,"#431","Point","[35.227739,31.322023,0.0]"
"34","1-1499.geojson","437",,"#431","Point","[35.227739,31.322023,0.0]"
"34","1-1499.geojson","438",,"#431","Point","[35.227739,31.322023,0.0]"
"35","1-1499.geojson","1039",,"#1342","Point","[23.7074403,37.9989344,0.0]"
"35","1-1499.geojson","1040",,"#1342","Point","[23.7074403,37.9989344,0.0]"
"36","1-1499.geojson","147",,"#156","Point","[35.3721853,31.5496668,0.0]"
"36","1-1499.geojson","148",,"#156","Point","[35.3721853,31.5496668,0.0]"
"36","1-1499.geojson","149",,"#156","Point","[35.3721853,31.5496668,0.0]"
"36","1-1499.geojson","150",,"#156","Point","[35.3721853,31.5496668,0.0]"
"37","1-1499.geojson","11",,"#305","Point","[35.0531342,32.5947663,0.0]"
"37","1-1499.geojson","12",,"#305","Point","[35.0531342,32.5947663,0.0]"
"38","1-1499.geojson","1188",,"#1495","Point","[34.983829,31.799987,0.0]"
"38","1-1499.geojson","1189",,"#1495","Point","[34.983829,31.799987,0.0]"
"39","1-1499.geojson","998",,"#1261","Point","[35.0029713,30.9500275,0.0]"
"39","1-1499.geojson","999",,"#1261","Point","[35.0029713,30.9500275,0.0]"
"39","1-1499.geojson","1000",,"#1261","Point","[35.0029713,30.9500275,0.0]"
"40","1-1499.geojson","729",,"#1088","Point","[34.914167,29.667222,0.0]"
"40","1-1499.geojson","730",,"#1088","Point","[34.914167,29.667222,0.0]"
"41","1-1499.geojson","892",,"#1223","Point","[34.6973639,31.9251157,0.0]"
"41","1-1499.geojson","893",,"#1223","Point","[34.6973639,31.9251157,0.0]"
"42","1-1499.geojson","222",,"#236","Point","[14.7477261,47.6565984,0.0]"
"42","1-1499.geojson","223",,"#236","Point","[14.7477261,47.6565984,0.0]"
"43","1-1499.geojson","547",,"#569","Point","[35.3293371,32.9562047,0.0]"
"43","1-1499.geojson","548",,"#569","Point","[35.3293371,32.9562047,0.0]"
"44","1-1499.geojson","1108",,"#1402","Point","[2.3375084,48.8583424,0.0]"
"44","1-1499.geojson","1109",,"#1402","Point","[2.3375084,48.8583424,0.0]"
"45","1-1499.geojson","1094",,"#1401","Point","[35.227739,31.322023,0.0]"
"45","1-1499.geojson","1095",,"#1401","Point","[35.227739,31.322023,0.0]"
"45","1-1499.geojson","1096",,"#1401","Point","[35.227739,31.322023,0.0]"
"46","1-1499.geojson","549",,"#570","Point","[34.6577641,30.9835681,0.0]"
"46","1-1499.geojson","550",,"#570","Point","[34.6577641,30.9835681,0.0]"
"46","1-1499.geojson","551",,"#570","Point","[34.6577641,30.9835681,0.0]"
