"DuplicateGroup","File","FeatureNo","ID","Name","Geometry","Coordinates"
"1","1-1499.geojson","1124",,"#1404","Point","[35.227739,31.322023,0.0]"
"1","1-1499.geojson","1125",,"#1404","Point","[35.227739,31.322023,0.0]"
"1","1-1499.geojson","1126",,"#1404","Point","[35.227739,31.322023,0.0]"
"2","1-1499.geojson","308",,"#316","Point","[151.21529670000001,-33.8567844,0.0]"
"2","1-1499.geojson","309",,"#316","Point","[151.21529670000001,-33.8567844,0.0]"
"3","1-1499.geojson","495",,"#511","Point","[35.4122222,32.9975,0.0]"
"3","1-1499.geojson","496",,"#511","Point","[35.4122222,32.9975,0.0]"
"4","1-1499.geojson","343",,"#319","Point","[35.2420461,31.2899603,0.0]"
"4","1-1499.geojson","344",,"#319","Point","[35.2420461,31.2899603,0.0]"
"5","1-1499.geojson","384",,"#341","Point","[34.925227,30.507341,0.0]"
"5","1-1499.geojson","385",,"#341","Point","[34.925227,30.507341,0.0]"
"6","1-1499.geojson","18",,"#305","Point","[35.7516,33.27143,0.0]"
"6","1-1499.geojson","19",,"#305","Point","[35.7516,33.27143,0.0]"
"7","1-1499.geojson","737",,"#1088","Point","[35.722976,32.959816,0.0]"
"7","1-1499.geojson","738",,"#1088","Point","[35.722976,32.959816,0.0]"
"8","1-1499.geojson","140",,"#155","Point","[34.8701709,30.8244537,0.0]"
"8","1-1499.geojson","141",,"#155","Point","[34.8701709,30.8244537,0.0]"
"8","1-1499.geojson","142",,"#155","Point","[34.8701709,30.8244537,0.0]"
"8","1-1499.geojson","143",,"#155","Point","[34.8701709,30.8244537,0.0]"
"8","1-1499.geojson","144",,"#155","Point","[34.8701709,30.8244537,0.0]"
"8","1-1499.geojson","145",,"#155","Point","[34.8701709,30.8244537,0.0]"
"8","1-1499.geojson","146",,"#155","Point","[34.8701709,30.8244537,0.0]"
"9","1-1499.geojson","183",,"#224","Point","[34.8752142,32.1202835,0.0]"
"9","1-1499.geojson","184",,"#224","Point","[34.8752142,32.1202835,0.0]"
"10","1-1499.geojson","499",,"#511","Point","[35.3946862,31.4659124,0.0]"
"10","1-1499.geojson","500",,"#511","Point","[35.3946862,31.4659124,0.0]"
"10","1-1499.geojson","501",,"#511","Point","[35.3946862,31.4659124,0.0]"
"11","1-1499.geojson","1060",,"#1379","Point","[35.7757238,33.3052657,0.0]"
"11","1-1499.geojson","1061",,"#1379","Point","[35.7757238,33.3052657,0.0]"
"12","1-1499.geojson","449",,"#494","Point","[35.8421146,33.0077489,0.0]"
"12","1-1499.geojson","450",,"#494","Point","[35.8421146,33.0077489,0.0]"
"13","1-1499.geojson","244",,"#270","Point","[85.5438048,28.1288506,0.0]"
"13","1-1499.geojson","245",,"#270","Point","[85.5438048,28.1288506,0.0]"
"14","1-1499.geojson","493",,"#511","Point","[35.1857872,33.0431136,0.0]"
"14","1-1499.geojson","494",,"#511","Point","[35.1857872,33.0431136,0.0]"
"15","1-1499.geojson","261",,"#278","Point","[35.6810664,33.2407596,0.0]"
"15","1-1499.geojson","262",,"#278","Point","[35.6810664,33.2407596,0.0]"
"16","1-1499.geojson","734",,"#1088","Point","[35.0375857,31.8011543,0.0]"
"16","1-1499.geojson","735",,"#1088","Point","[35.0375857,31.8011543,0.0]"
"16","1-1499.geojson","736",,"#1088","Point","[35.0375857,31.8011543,0.0]"
"17","1-1499.geojson","470",,"#510","Point","[35.1079668,31.7778086,0.0]"
"17","1-1499.geojson","471",,"#510","Point","[35.1079668,31.7778086,0.0]"
"17","1-1499.geojson","472",,"#510","Point","[35.1079668,31.7778086,0.0]"
"17","1-1499.geojson","473",,"#510","Point","[35.1079668,31.7778086,0.0]"
