"DuplicateGroup","File","FeatureNo","ID","Name","Geometry","Coordinates"
"1","3000-4499.geojson","377",,"#3751","Point","[35.37245,32.90575,0.0]"
"1","3000-4499.geojson","378",,"#3751","Point","[35.37245,32.90575,0.0]"
"2","3000-4499.geojson","28",,"#3252","Point","[-9.1456153,43.0022978,0.0]"
"2","3000-4499.geojson","29",,"#3252","Point","[-9.1456153,43.0022978,0.0]"
"3","3000-4499.geojson","568",,"#4182","Point","[-0.8890427,49.3741671,0.0]"
"3","3000-4499.geojson","569",,"#4182","Point","[-0.8890427,49.3741671,0.0]"
