"DuplicateGroup","File","FeatureNo","ID","Name","Geometry","Coordinates"
"1","0.geojson","29",,"#-44","Point","[-71.3102778,-41.1334722,0.0]"
"1","0.geojson","30",,"#-44","Point","[-71.3102778,-41.1334722,0.0]"
"2","0.geojson","35",,"#-50","Point","[35.351934,32.5564744,0.0]"
"2","0.geojson","36",,"#-50","Point","[35.351934,32.5564744,0.0]"
"2","0.geojson","37",,"#-50","Point","[35.351934,32.5564744,0.0]"
"2","0.geojson","38",,"#-50","Point","[35.351934,32.5564744,0.0]"
"2","0.geojson","39",,"#-50","Point","[35.351934,32.5564744,0.0]"
